idx,n_cells,coverage_fraction,rouleaux_fraction,n_isolated,crenation_fraction,median_area,area_cv
216,1975,0.682498469387755,0.14531645569620252,339,0.06489675516224189,476.0,10.96100559052327
217,5105,0.5868404336734694,0.14495592556317335,1131,0.04862953138815208,223.0,11.793419070680057
218,3485,0.7088322704081632,0.1302725968436155,828,0.043478260869565216,246.0,21.77348532871063
219,5030,0.5954193877551021,0.13240556660039762,933,0.020364415862808145,291.5,5.913344707907735
220,3512,0.6903179846938775,0.12813211845102507,803,0.037359900373599,230.0,27.09508126518959
221,4056,0.6358960459183673,0.13313609467455623,933,0.03536977491961415,256.0,12.039408728033775
222,4552,0.6295332908163266,0.12456063268892795,938,0.03731343283582089,261.0,15.88863340893819
223,3899,0.6664536989795918,0.12233906129776866,879,0.04550625711035267,268.0,14.33019102619458
224,3987,0.6720456632653061,0.13569099573614246,781,0.04353393085787452,297.0,17.367708886084703
225,3952,0.6398923469387755,0.12449392712550607,903,0.04983388704318937,274.0,16.335731007843098
226,4155,0.6216248724489796,0.13044524669073407,764,0.028795811518324606,353.0,10.656767337767553
227,4272,0.6113441326530612,0.10720973782771535,1030,0.035922330097087375,291.0,13.566394717131947
228,3815,0.6721448979591836,0.11900393184796855,779,0.023106546854942234,324.0,16.81279937870583
229,3904,0.6780058673469388,0.1098872950819672,941,0.024442082890541977,285.0,15.489415464518027
230,2927,0.7433802295918367,0.11240177656303382,562,0.019572953736654804,302.0,19.865148006901826
231,3565,0.6886477040816327,0.10687237026647967,753,0.03187250996015936,293.0,23.367583867804612
232,2738,0.7572734693877551,0.12198685171658144,509,0.03143418467583497,310.0,33.25827728017839
233,4235,0.6169466836734694,0.10932703659976387,1029,0.031098153547133137,265.0,27.384865958306523
234,1973,0.7334257653061225,0.12012164216928535,320,0.028125,398.0,17.0054425490584
235,5080,0.5754585459183673,0.1374015748031496,1114,0.05565529622980251,253.0,10.927854807595807
236,4433,0.6644053571428571,0.13918339724791337,1030,0.04854368932038835,252.0,20.42298827468496
237,3584,0.707440943877551,0.14118303571428573,820,0.03902439024390244,258.5,19.22200010715683
238,4194,0.6454873724489796,0.13495469718645683,938,0.04797441364605544,265.0,14.607076272706124
239,4738,0.6091642857142857,0.14373153229210636,951,0.03890641430073607,286.0,7.870242400110109
240,4284,0.6362358418367347,0.13678804855275445,969,0.05056759545923633,265.0,30.008932136257865
241,5094,0.5969195153061224,0.1403612092658029,1102,0.03357531760435572,293.0,14.896629565123389
242,4436,0.6193114795918367,0.12736699729486023,1030,0.03398058252427184,291.0,11.214899831225036
243,4464,0.611623724489796,0.11402329749103943,1026,0.036062378167641324,298.0,16.516460874376477
244,5082,0.570139668367347,0.1284927194018103,920,0.02608695652173913,342.0,11.035301999067615
245,5277,0.5781119897959184,0.12052302444570778,1035,0.01932367149758454,333.0,7.478874847008716
246,4109,0.6409877551020409,0.11486979800438063,1026,0.025341130604288498,285.0,21.130377391389878
247,4498,0.6305283163265306,0.12761227212094264,862,0.03596287703016241,324.0,13.25037719605591
248,3006,0.7236566326530612,0.08782435129740519,883,0.015855039637599093,262.5,42.1996051193751
249,3234,0.7079358418367347,0.10977118119975263,821,0.02679658952496955,275.0,27.834300616605315
250,3532,0.6989579081632653,0.09796149490373726,944,0.015889830508474576,246.0,22.50348623705333
251,3478,0.690330612244898,0.09890741805635422,919,0.036996735582154515,262.0,17.081953000874325
252,3626,0.6798224489795919,0.107280750137893,879,0.030716723549488054,261.5,31.586204243355578
253,4811,0.6348043367346938,0.1536063188526294,917,0.03925845147219193,277.0,12.0819262813167
254,5295,0.5608656887755102,0.1518413597733711,1016,0.05019685039370079,288.0,5.546624998489117
255,5002,0.5914862244897959,0.14614154338264695,1019,0.06084396467124632,286.0,11.465969263788786
256,5320,0.5571117346938775,0.1368421052631579,977,0.0368474923234391,310.0,6.8169179161145
257,4671,0.5930391581632654,0.13508884607150504,902,0.036585365853658534,310.0,7.226915214839835
258,2555,0.6439547193877551,0.13776908023483367,397,0.04030226700251889,363.0,8.321761204323881
259,3612,0.6074274234693877,0.13150609080841638,636,0.025157232704402517,337.0,12.871279983789762
260,4678,0.5871795918367347,0.1278324070115434,866,0.04503464203233257,339.0,5.843454990266219
